group_id,reply_density,unique_users,reply_count,is_coordinated_network
group_0,0.7670704547056862,5,46,1
group_1,0.36002593928324395,44,10,0
group_2,0.10320611853593774,14,13,0
group_3,0.24636523429358909,27,16,0
group_4,0.3426059189885892,34,28,0
group_5,0.3972159831679071,41,22,0
group_6,0.572961885670593,44,15,0
group_7,0.13381858530600835,13,26,0
group_8,0.36965400535978404,26,18,0
group_9,0.49350119167920864,22,23,0
group_10,0.4074440749261774,28,15,0
group_11,0.39354503458555495,11,45,1
group_12,0.29441618687142485,19,22,0
group_13,0.40258254268631727,13,29,0
group_14,0.872353359707728,10,22,1
group_15,0.10227557314988697,36,27,0
group_16,0.9413816047395721,5,38,1
group_17,0.07126786039900787,25,29,0
group_18,0.21267778493286588,24,5,0
group_19,0.4579205763819315,38,24,0
group_20,0.9514119080156866,6,46,1
group_21,0.10087784290642922,24,10,0
group_22,0.09885438922798824,26,21,0
group_23,0.5468232919243008,35,19,0
group_24,0.37546081830021555,33,24,0
group_25,0.11061805483226046,46,23,0
group_26,0.6340833835781912,22,19,0
group_27,0.06305203157730434,19,17,0
group_28,0.44407153028795393,31,25,0
group_29,0.3671538653758458,13,27,0
group_30,0.1261403781678983,35,28,0
group_31,0.534406947177202,36,6,0
group_32,0.5515498953080099,17,6,0
group_33,0.4613138311735496,41,24,0
group_34,0.46162039891414736,17,11,0
group_35,0.5310855121517332,30,18,0
group_36,0.35738426742901985,10,22,0
group_37,0.3854640249758869,10,12,0
group_38,0.32321963482124355,22,5,0
group_39,0.29896663713133154,13,24,0
group_40,0.4984988053894553,20,6,0
group_41,0.5010385584067278,24,14,0
group_42,0.18775281835434993,45,13,0
group_43,0.21427352998299212,15,15,0
group_44,0.2880170508312653,35,16,0
group_45,0.15649951380517418,45,6,0
group_46,0.4223568243070862,31,8,0
group_47,0.26565790961293956,27,27,0
group_48,0.31001866190345795,35,29,0
group_49,0.34966441573075,14,24,0
group_50,0.4165812368885991,19,20,0
group_51,0.9280225694070897,14,25,1
group_52,0.6266103053567184,13,12,0
group_53,0.1489046221435813,15,15,0
group_54,0.7089187468343412,26,19,0
group_55,0.46233670118196174,5,23,1
group_56,0.21770267723967,10,12,0
group_57,0.81031017040598,12,26,1
group_58,0.09253632426450605,35,21,0
group_59,0.08315719882937693,41,10,0
group_60,0.8630273937086229,5,20,1
group_61,0.781169301911383,9,48,1
group_62,0.08280089853789051,21,25,0
group_63,0.3379440401062734,24,26,0
group_64,0.3490282092597652,41,25,0
group_65,0.06784462984482346,33,6,0
group_66,0.45334496969322013,44,24,0
